1,0.000008
2,0.000013
4,0.000012
8,0.000008
16,0.000008
32,0.000008
50,0.000008
64,0.000007
72,0.000007
80,0.000007
96,0.000008
128,0.000008
192,0.000008
256,0.000008
384,0.000008
512,0.000008
1024,0.000007
2048,0.000007
3072,0.000007
4096,0.000008
5120,0.000007
6144,0.000011
7168,0.000008
8192,0.000007
9216,0.000007
10240,0.000007
11264,0.000007
12288,0.000007
16384,0.000007
32768,0.000007
65536,0.000008
131072,0.000009
262144,0.000011
524288,0.000013
1048576,0.000018
2097152,0.000022
4194304,0.000024
8388608,0.000024
1048576,0.000018
2097152,0.000018
4194304,0.000022
8388608,0.000025
10485760,0.000023
12582912,0.000023
16777216,0.000027
20971520,0.000027
33554432,0.000035
67108864,0.000035
